,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Luis Felipe Edwards Signature Series Viognier Reserva 2017 Rapel Valley,62.0,50.0,7.99,white wine,chilean,new world,,,0.8064516129032258
M de Minuty Magnum Rosé 2016 Côtes de Provence,2.0,2.0,29.99,rose wine,french,old world,,,1.0
M de Minuty Rosé 2016 Côtes de Provence,130.0,114.0,13.99,rose wine,french,old world,,,0.8769230769230769
Majestic Loves Chardonnay 2016,12.0,9.0,6.99,white wine,south-african,new world,chardonnay,,0.75
Majestic Loves Fizz,32.0,31.0,7.99,white wine,,,,,0.96875
Majestic Loves Gruner Veltliner 2016,61.0,52.0,6.99,white wine,,,,,0.8524590163934426
Majestic Loves Merlot 2016,34.0,29.0,6.99,red wine,,,,,0.8529411764705882
Majestic Loves Montepulciano 2016,53.0,41.0,6.99,red wine,italian,old world,,,0.7735849056603774
Majestic Loves Pinot Grigio 2016,36.0,30.0,6.99,white wine,,,,,0.8333333333333334
Majestic Loves Rose 2016,16.0,10.0,6.99,rose wine,italian,old world,,,0.625
Majestic Loves Sauvignon 2017,30.0,28.0,6.99,white wine,chilean,new world,sauvignon blanc,,0.9333333333333333
Majestic Loves Shiraz 2016,27.0,21.0,6.99,red wine,australian,new world,,,0.7777777777777778
Majestic Loves Spanish Red 2016,64.0,56.0,6.99,red wine,spanish,old world,tempranillo,rioja,0.875
Marchesi Antinori Chianti Classico 2014 Tenuta Tignanello,1.0,1.0,35.0,fine wine,italian,old world,,,1.0
Marea Chardonnay 2016,1.0,1.0,15.99,white wine,,,,,1.0
Marea Syrah 2012,3.0,3.0,15.99,red wine,,,,,1.0
Marlborough Ridge Sauvignon Blanc 2016 Giesen,132.0,123.0,8.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9318181818181818
Marques Tertiaro Gran Reservado 2011,44.0,34.0,8.99,red wine,spanish,old world,tempranillo,rioja,0.7727272727272727
Marquis de Belleville 2014 Bordeaux Supérieur,59.0,49.0,7.99,red wine,french,old world,merlot,bordeaux,0.8305084745762712
Marquis de Pennautier Viognier 2016 PGI Pays d'Oc,50.0,39.0,10.99,white wine,french,old world,,south of france,0.78
"Mas de la Dona, Cotes de Roussillon Villages 2017",0.0,0.0,11.99,red wine,french,old world,,,
Massey Dacta Sauvignon Blanc 2016 Marlborough,26.0,24.0,12.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9230769230769231
Massolino Barolo 2012 Piedmont,2.0,0.0,60.0,fine wine,italian,old world,,,0.0
Matsu El Viejo 2015 Toro,46.0,45.0,24.99,red wine,spanish,old world,tempranillo,,0.9782608695652174
Mendel Selection Malbec 2015,8.0,7.0,22.99,red wine,argentinian,new world,malbec,,0.875
Meursault 2013 Château de Puligny-Montrachet,0.0,0.0,60.0,fine wine,,,,,
Minuty Cuvée Prestige 2016 Côtes de Provence,20.0,18.0,17.99,rose wine,french,old world,,,0.9
Miraval Rosé 2016 Côtes de Provence,27.0,23.0,19.99,rose wine,french,old world,,,0.8518518518518519
Mister Shiraz 2016 Colchagua Valley,44.0,39.0,7.99,red wine,chilean,new world,,,0.8863636363636364
Mon Plaisir de la Vallee Cabernet Franc 2015,6.0,4.0,8.99,red wine,french,old world,,,0.6666666666666666
Mon Plaisir du Sud Blanc 2016,9.0,7.0,7.99,white wine,french,old world,,south of france,0.7777777777777778
Mon Plaisir du Sud Rouge 2016,15.0,14.0,7.99,red wine,french,old world,,south of france,0.9333333333333333
Mont Saint Jean 2016 Corbières,80.0,65.0,7.99,red wine,french,old world,,,0.8125
Montagny 1er Cru 'Les Millières' 2016 Cave des Vignerons de Buxy,188.0,177.0,13.99,white wine,french,old world,,,0.9414893617021277
Montagny Vieilles Vignes 2014 Buxy,21.0,20.0,11.99,white wine,french,old world,,,0.9523809523809523
Montepulciano d'Abruzzo 2015 Masciarelli,43.0,41.0,11.99,red wine,italian,old world,,,0.9534883720930233
Montepulciano d'Abruzzo 2016 Grifone,230.0,187.0,6.99,red wine,italian,old world,,,0.8130434782608695
Montes Twins 2015 Colchagua Valley,31.0,29.0,9.99,red wine,chilean,new world,,,0.9354838709677419
Morande M Chardonnay 2016,44.0,40.0,8.99,white wine,chilean,new world,chardonnay,,0.9090909090909091
Morande M Pinot Noir 2016,23.0,13.0,8.99,red wine,chilean,new world,,,0.5652173913043478
Morande Reserva One to One Pais 2016,28.0,23.0,8.99,red wine,chilean,new world,,,0.8214285714285714
Morandé one to one Gewurztraminer 2017,48.0,45.0,8.99,white wine,chilean,new world,,,0.9375
"Mountain View Carmenère 2016 Luis Felipe Edwards, Central Valley",54.0,45.0,6.99,red wine,chilean,new world,,,0.8333333333333334
Mud House Claim 431 Pinot Noir 2014 Central Otago,8.0,5.0,16.99,red wine,new-zealand,new world,pinot noir,,0.625
Mud House Pinot Noir 2015 Central Otago,27.0,23.0,14.99,red wine,new-zealand,new world,pinot noir,,0.8518518518518519
Mud House Sauvignon Blanc 2016/17 Marlborough,339.0,322.0,9.49,white wine,new-zealand,new world,,marlborough wine,0.9498525073746312
Muscadet 2014/13 Le Pallet,34.0,32.0,13.99,white wine,french,old world,,,0.9411764705882353
Muscadet 2016 Jean Sablenay,52.0,45.0,7.99,white wine,french,old world,,,0.8653846153846154
Muscadet de Sèvre et Maine Sur Lie 2016 Domaine de la Tourmaline,87.0,79.0,8.99,white wine,french,old world,,,0.9080459770114943
Mâcon Rouge 'Les Roches Rouges' 2015 Louis Jadot,69.0,60.0,13.99,red wine,french,old world,pinot noir,,0.8695652173913043
Mâcon-Fuissé Vieilles Vignes 2016 Christophe Cordier,6.0,4.0,16.99,white wine,french,old world,chardonnay,,0.6666666666666666
Mâcon-Lugny 2015/16 Domaine des Terres Gentilles,45.0,41.0,11.49,white wine,french,old world,,,0.9111111111111111
Mâcon-Lugny 2015/2016 Louis Latour,292.0,274.0,12.99,white wine,french,old world,,,0.9383561643835616
Mâcon-Villages 'Les Roches Blanches' 2016 Louis Jadot,138.0,126.0,12.99,white wine,french,old world,chardonnay,,0.9130434782608695
Mâcon-Villages 2015 Domaine Des Maréchaudes,33.0,29.0,9.99,white wine,french,old world,chardonnay,,0.8787878787878788
Mâcon-Villages Blanc 'Les Pierres Blanches' 2016 Cave de Lugny,232.0,214.0,11.49,white wine,french,old world,chardonnay,,0.9224137931034483
