,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Russian Jack Sauvignon Blanc 2016 Marlborough,186.0,164.0,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.8817204301075269
Rustenberg John X Merriman 2015 Stellenbosch,68.0,63.0,17.99,red wine,south-african,new world,merlot,,0.9264705882352942
Rustenberg Peter Barlow Cabernet Sauvignon 2011 Stellenbosch,2.0,2.0,35.0,fine wine,south-african,new world,,,1.0
Rustenberg RM Nicholson 2016 Stellenbosch,89.0,83.0,13.49,red wine,south-african,new world,,,0.9325842696629213
Rustenberg Sauvignon Blanc 2017 Western Cape,22.0,21.0,12.49,white wine,south-african,new world,,,0.9545454545454546
Rustenberg Straw Wine 2015 Coastal Region,13.0,11.0,11.99,white wine,south-african,new world,,,0.8461538461538461
Rymill Classic Cabernet 2014,2.0,2.0,19.99,red wine,,,,,1.0
Rymill Classic Shiraz 2014,0.0,0.0,19.99,red wine,,,,,
"S&R Douro Red, 2016",8.0,7.0,11.99,red wine,portuguese,old world,,,0.875
Saint Clair Estate Selection Pinot Noir 2016 Marlborough,23.0,20.0,13.99,red wine,new-zealand,new world,pinot noir,marlborough wine,0.8695652173913043
Saint Clair Estate Selection Sauvignon Blanc 2016 Marlborough,94.0,89.0,12.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9468085106382979
Saint Clair Pioneer Block Chardonnay 2016 Marlborough,16.0,16.0,18.99,white wine,new-zealand,new world,chardonnay,marlborough wine,1.0
Saint Clair Pioneer Block Pinot Noir 2015 Marlborough,59.0,58.0,21.99,red wine,new-zealand,new world,pinot noir,marlborough wine,0.9830508474576272
Saint Clair Pioneer Block Sauvignon Blanc 2016 Marlborough,115.0,110.0,19.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9565217391304348
Saint Clair Reserve Sauvignon Blanc 2016 Marlborough,25.0,24.0,24.99,fine wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.96
Saint-Véran 2014 Les Vignerons des Grandes Vignes,24.0,18.0,12.99,white wine,french,old world,chardonnay,,0.75
Saint-Véran 2016 Domaine Thibert Père et Fils,26.0,22.0,19.99,white wine,french,old world,chardonnay,,0.8461538461538461
Saintsbury Chardonnay 2012 Carneros,17.0,17.0,22.99,white wine,,,chardonnay,,1.0
Santa Rita 120 Cabernet Franc 2016 Central Valley,35.0,32.0,8.99,red wine,chilean,new world,,,0.9142857142857143
Santa Rita 120 Carménère 2016 Central Valley,210.0,184.0,8.99,red wine,chilean,new world,,,0.8761904761904762
Santa Rita 120 Merlot 2017 Central Valley,121.0,104.0,8.99,red wine,chilean,new world,merlot,,0.859504132231405
Santa Rita 120 Sauvignon Blanc 2017 Central Valley,26.0,22.0,8.99,white wine,chilean,new world,sauvignon blanc,,0.8461538461538461
Santa Rita 120 Viognier 2017 Central Valley,75.0,63.0,8.99,white wine,chilean,new world,,,0.84
Santa Rita Medalla Real Cabernet Sauvignon 2014 Maipo Valley,74.0,68.0,11.99,red wine,chilean,new world,,,0.918918918918919
Santa Rita Medalla Real Carmenère 2015 Colchagua Valley,128.0,124.0,11.99,red wine,chilean,new world,,,0.96875
Santa Rita Medalla Real Chardonnay 2016 Leyda Valley,57.0,54.0,11.99,white wine,chilean,new world,,,0.9473684210526315
Sassaiolo Rosso Piceno 2014 Monte Schiavo,41.0,33.0,8.99,red wine,italian,old world,,,0.8048780487804879
Schild Estate Cabernet Sauvignon,10.0,8.0,14.99,red wine,,,,,0.8
Schild Estate Merlot,3.0,3.0,14.99,red wine,,,,,1.0
"Sexy Beast Cabernet 2015 Two Hands, McLaren Vale",19.0,18.0,21.99,red wine,australian,new world,,,0.9473684210526315
Silver Ghost Cabernet Sauvignon 2016 Central Valley,146.0,130.0,6.49,red wine,chilean,new world,,,0.8904109589041096
Silver Ghost Sauvignon Blanc 2017 Central Valley,182.0,157.0,6.49,white wine,chilean,new world,sauvignon blanc,,0.8626373626373627
Soave Classico 2016 Inama,27.0,26.0,15.99,white wine,italian,old world,,,0.9629629629629629
St Aubin 1er Cru Les Cortons 2015 Hubert Bouzereau,2.0,2.0,38.0,fine wine,french,old world,,,1.0
Stella Alpina Pinot Grigio 2016 Alto Adige,49.0,44.0,12.99,white wine,italian,old world,,,0.8979591836734694
Swartland Limited Release Mourvedre 2015,27.0,23.0,11.99,red wine,south-african,new world,,,0.8518518518518519
Tarima Monastrell 2015 Alicante,39.0,35.0,8.99,red wine,spanish,old world,,,0.8974358974358975
Taylor's Colhita Tawny Port 1966,2.0,2.0,150.0,fine wine,portuguese,old world,,,1.0
Taylor's Vintage Port 1985,0.0,0.0,95.0,fine wine,portuguese,old world,,,
Ten Minutes by Tractor Estate Pinot Noir 2015 Mornington Peninsular,8.0,4.0,46.0,fine wine,australian,new world,pinot noir,,0.5
Ten Minutes by Tractor Wallis Chardonnay 2015 Mornington Peninsula,0.0,0.0,50.0,fine wine,australian,new world,,,
